name,type,start_time,duration,mosi
SPI,result,2.60655716,9.60E-07,0x00
SPI,result,2.60655864,0,0x00
SPI,result,2.60656104,9.60E-07,0x00
SPI,result,2.60656252,1.00E-06,0x00
SPI,result,2.60656492,9.60E-07,0x00
SPI,result,2.6065664,0,0x00
SPI,result,2.60656876,0,0x00
SPI,result,2.60657028,0,0x00
SPI,result,2.60657264,0,0x00
SPI,result,2.60657416,9.60E-07,0x00
SPI,result,2.60657652,0,0x00
SPI,result,2.60657804,9.60E-07,0x00
SPI,result,2.6065804,0,0x00
SPI,result,2.60658192,9.60E-07,0x00
SPI,result,2.60658428,0,0x00
SPI,result,2.6065858,9.60E-07,0x00
SPI,result,2.60658816,9.60E-07,0x00
SPI,result,2.60658964,0,0x00
SPI,result,2.60659204,9.60E-07,0x00
SPI,result,2.60659352,0,0x00
SPI,result,2.60659592,9.60E-07,0x00
SPI,result,2.6065974,0,0x00
SPI,result,2.6065998,9.60E-07,0x00
SPI,result,2.60660128,0,0x00
SPI,result,2.60660364,0,0x00
SPI,result,2.60660516,0,0x00
SPI,result,2.60660752,0,0x00
SPI,result,2.60660904,9.60E-07,0x00
SPI,result,2.6066114,0,0x00
SPI,result,2.60661292,9.60E-07,0x00
SPI,result,2.60661528,0,0x00
SPI,result,2.6066168,9.60E-07,0x00
SPI,result,2.60661916,0,0x00
SPI,result,2.60662064,0,0x00
SPI,result,2.60662304,9.60E-07,0x00
SPI,result,2.60662452,0,0x00
SPI,result,2.60662692,9.60E-07,0x00
SPI,result,2.6066284,0,0x00
SPI,result,2.6066308,9.60E-07,0x00
SPI,result,2.60663228,0,0x00
SPI,result,2.60663468,9.60E-07,0x00
SPI,result,2.60663616,0,0x00
SPI,result,2.60663852,0,0x00
SPI,result,2.60664004,9.60E-07,0x00
SPI,result,2.6066424,0,0x00
SPI,result,2.60664392,9.60E-07,0x00
SPI,result,2.60664628,0,0x00
SPI,result,2.6066478,9.60E-07,0x00
